id,provider,name,latitude,longitude,url,imageUrl
1ebaa333-10a0-466d-80e3-d339d1dcfd91,Dante,,,,/sklepy/dante/gazetka,""
1f13e466-d908-4a8c-9653-f1c39ddc19ff,Yups!,,,,/sklepy/yups/gazetka,""
1f379171-8596-4023-aa32-c45dc7593b46,Kompas,,,,/sklepy/kompas/gazetka,""
1f538b71-96a6-40ba-9b25-6a3a090f38c3,Paradopary,,,,/sklepy/paradopary/gazetka,""
1f5ea858-7764-4f4b-8b42-1f8e81bd824e,iDream,,,,/sklepy/idream/gazetka,""
1f659732-3795-4b17-9075-e2427421ac24,Puma,,,,/sklepy/puma/gazetka,""
1fde06b0-69fe-4f8a-8864-2d23db95aac8,Camaieu,,,,/sklepy/camaieu/gazetka,""
202088a3-36c0-42a7-98ce-8558ef6f0629,Nikon,,,,/sklepy/nikon/gazetka,""
2058d5b4-3933-4905-bd2e-06fa5561bb00,MP3store,,,,/sklepy/mp3store/gazetka,""
20922b7d-2282-4bad-b347-d755f3903677,"Reserved HOME",,,,/sklepy/reserved-home/gazetka,""
20956e7d-f81e-49f5-9c87-1bcaeda36908,"Żabka",,,,/sklepy/zabka/gazetka,""
20cf8d23-7839-4502-894e-936b5c7cba51,"Big Bra",,,,/sklepy/big-bra/gazetka,""
21284586-4f06-45f8-adb8-03dd2cc50b64,Auchan,,,,/sklepy/auchan/gazetka,""
215b73ec-7062-4b66-a62d-a888469de23e,Biedronka,,,,/sklepy/biedronka/gazetka,""
215fddd9-a44c-4346-ab8b-2ec355fe9d53,Inglot,,,,/sklepy/inglot/gazetka,""
21aadf4b-c2a9-48ea-99cc-1dd339e97935,"Meritum Bank",,,,/sklepy/meritum-bank/gazetka,""
21f526b4-6ed6-4fb0-a8f7-d105f8689736,Zabawki.pl,,,,/sklepy/zabawki-pl/gazetka,""
22591dcc-90ec-428b-b38c-3f450cf5f24e,"Domino&#039;s Pizza",,,,/sklepy/pizza-dominos/gazetka,""
227add73-adf5-487e-a3fc-70c1bac791a7,C&amp;A,,,,/sklepy/c-a/gazetka,""
2343447e-d911-4d8b-b4c2-f1805c7f56fb,Darbut,,,,/sklepy/darbut/gazetka,""
23c86dc2-9a02-40e2-9dce-5369511049ca,Kemer,,,,/sklepy/kemer/gazetka,""
24141516-f084-4e7c-9c57-7dcd69c6f3b7,"Akpol Baby",,,,/sklepy/akpol-baby/gazetka,""
244092bb-800b-4efb-9b5f-b46389946ec9,"Cymes Piekarnia",,,,/sklepy/cymes-piekarnia/gazetka,""
24781f39-e961-459b-9041-175b9a208865,Matras,,,,/sklepy/matras/gazetka,""
2509b264-75ba-4a5d-a7ac-3084eceb53f0,Swiss,,,,/sklepy/swiss/gazetka,""
254d0401-e308-4aac-a223-8bfe237e4a17,"Van Graaf",,,,/sklepy/van-graaf/gazetka,""
25a7a9c1-c11f-43ec-bc78-6bc80a276a04,Verdissimi,,,,/sklepy/verdissimi/gazetka,""
25ba167e-c2a9-442b-86a6-2693d56bd8ce,Evega,,,,/sklepy/evega/gazetka,""
265b16ad-b673-43e0-8973-831864585e08,"Holiday Experts",,,,/sklepy/holiday-experts/gazetka,""
267b7ad0-0f6f-4ab0-af45-5b7ab5727ea8,Magma,,,,/sklepy/magma/gazetka,""
26966314-dbd3-438c-a7c5-02351b83101b,"Cardio Bunny",,,,/sklepy/cardio-bunny/gazetka,""
26a08b73-2a33-4bc9-adae-bf36a49fd917,"Biuro Plus",,,,/sklepy/biuro-plus/gazetka,""
26eba7bb-22ec-46b2-91f6-3a79b0d141f6,"Sklep Rowerowy",,,,/sklepy/sklep-rowerowy/gazetka,""
27044dc5-23dd-4161-b42b-830418d07e83,Tiffi,,,,/sklepy/tiffi/gazetka,""
275a49c5-c2b0-4f78-bb40-41a62e9d8bc3,MandMDirect,,,,/sklepy/mandmdirect/gazetka,""
279928a0-8ae9-44b0-96fa-df31debeb902,"Simply Market",,,,/sklepy/simply-market/gazetka,""
27cdfb8d-52c0-4500-a9d8-3bf2d16def41,Hebe,,,,/sklepy/hebe/gazetka,""
27d50af1-74b5-459c-95ef-3dd54b2c8f39,Dajar,,,,/sklepy/dajar/gazetka,""
27f707f2-3be6-47f2-8163-d7c42d5e87ea,Hipper.pl,,,,/sklepy/hipper-pl/gazetka,""
280e0a0a-a931-4da2-81bb-2f199feff2bb,Kinderkraft,,,,/sklepy/kinderkraft/gazetka,""
287dca99-ab06-4353-bdd6-ae083fc25cc3,"Wyspa Szkrabów",,,,/sklepy/wyspa-szkrabow/gazetka,""
28eb1e57-7282-4493-ac60-de5e18c00b56,"Sklep Agnex",,,,/sklepy/sklep-agnex/gazetka,""
290c0d2a-67a6-4edd-b4e7-9af8576e9668,Passa,,,,/sklepy/passa/gazetka,""
290d9566-7056-46e7-bed6-e059d01c8a46,"Ziko Apteka",,,,/sklepy/ziko-apteka/gazetka,""
2933f907-e9a4-4fc1-8f9d-571c53c588c5,"Słoneczko",,,,/sklepy/syoneczko/gazetka,""
29736029-ee04-48ca-8108-e27d49c284fd,Chorten,,,,/sklepy/chorten/gazetka,""
29c17211-b77b-4b86-b53d-9ee63a89cd77,"New Yorker",,,,/sklepy/new-yorker/gazetka,""
29ede7d8-f2fa-4b69-b782-828e7d7bf16f,"VIP COLLECTION",,,,/sklepy/vip-collection/gazetka,""
2a0999e0-b3e6-49c7-99ab-4e1ad5778437,Superkoszyk.pl,,,,/sklepy/superkoszyk-pl/gazetka,""
